COA2011,AvPTAI2015,PTAL,PTAIHigh,PTAILow
E00018340,5.33341,2,6.27158,4.35526
E00018341,4.61872,1b,14.4777,0
E00018342,0,0,0,0
E00018343,0,0,0,0
E00018344,5.71153,2,5.81077,5.6123
E00018345,7.3979,2,9.85634,5.56338
E00018346,3.4195,1b,4.91778,0
E00018347,8.47256,2,9.63836,7.80595
E00018348,0.67049,1a,4.29604,0
E00018349,5.49787,2,7.46659,3.38252
E00018350,2.73087,1b,3.80312,0
E00018351,1.96926,1a,4.09984,0
E00018352,5.44594,2,8.1242,0
E00018353,0.898689,1a,8.39609,0
E00018354,3.6021,1b,3.96557,3.42945
E00018355,5.45792,2,7.70903,3.08904
E00018356,5.23221,2,5.29092,5.18477
E00018357,8.2741,2,8.82713,7.63243
E00018358,9.33447,2,12.4303,4.80094
E00018359,5.17012,2,7.58659,2.75945
E00018360,8.38167,2,10.5506,4.46316
E00018361,6.51389,2,8.93981,3.57057
E00018362,9.63864,2,11.5757,7.44835
E00018363,9.073,2,11.5651,4.86058
E00018364,11.0603,3,12.6848,9.45123
E00018365,11.1563,3,11.3689,10.8622
E00018366,6.46439,2,10.9321,2.2746
E00018367,4.16795,1b,4.88718,3.44871
E00018368,10.0581,3,11.6491,5.43531
E00018370,8.79762,2,10.6994,3.51045
E00018371,9.72437,2,11.3717,9.08658
E00018372,16.6218,4,23.1818,11.2065
E00018373,7.29192,2,10.0826,4.45248
E00018374,7.81301,2,10.9275,5.1168
E00018375,3.80178,1b,8.43751,1.78358
E00018376,4.607,1b,5.25296,3.96104
E00018377,9.57725,2,11.5097,6.07864
E00018378,10.8613,3,11.7045,10.3418
E00018379,5.65923,2,5.77551,5.35828
E00018380,11.8457,3,13.3531,9.3868
E00018381,11.8067,3,16.3623,10.2621
E00018382,15.8149,4,18.0602,10.6287
E00018383,13.6712,3,16.0741,12.6999
E00018384,14.2083,3,19.0422,11.8708
E00018385,9.62657,2,10.4694,8.78375
E00018386,12.2462,3,17.7283,9.45947
E00018387,9.79473,2,10.8397,6.44344
E00018388,16.3975,4,19.6869,12.6489
E00018389,17.1135,4,20.0837,10.3226
E00018390,12.8804,3,17.4692,8.84676
E00018391,14.5835,3,21.9398,8.86492
E00018392,3.40505,1b,4.62311,2.24606
E00018393,2.62918,1b,2.91223,2.44539
E00018394,3.50899,1b,5.07499,1.9869
E00018395,8.16823,2,9.28834,5.85772
E00018396,4.58265,1b,5.50507,1.87551
E00018397,4.33689,1b,5.46069,2.03642
E00018398,3.46025,1b,4.66739,2.37626
E00018399,5.75654,2,6.53369,4.64631
E00018400,3.91315,1b,5.00007,2.44439
E00018401,7.85905,2,10.3815,5.33661
E00018402,11.3464,3,12.7672,8.95658
E00018403,5.81188,2,9.26289,4.25959
E00018404,9.06227,2,10.7169,3.99275
E00018405,11.1167,3,11.8232,10.3052
E00018406,2.66044,1b,3.89643,0
